视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2023-01-08 11:41:14,撩完就跑？
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-11-27 22:42:42,汪峰乐队的时候有这个劲，后来没有了
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-11-18 14:01:15,这个哇音妙啊
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-11-18 13:58:22,这个老外经常给博哥弹主音啊
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-09-22 18:42:43,大点声好吗！后面的朋友别不好意思！
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-09-17 18:57:39,哇，梁博这把琴上是mj的签名
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-09-15 12:45:07,我整个人都酥麻了
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-09-07 08:55:43,每日一遍
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-09-06 23:35:13,这把吉他是不是唱作人 《我不知道》的那把呀
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-09-06 09:37:31,命给你！！！！
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-08-25 22:39:19,每句都押韵 YYDS
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-08-23 22:52:52,自带混响的男人
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-08-21 11:57:21,梁博说这首歌 “假的东西太多反倒让真的看起来像假的”
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-08-19 08:51:41,话筒架上站着一排拨片好可爱
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-08-18 23:25:25,博哥快给自己唱软了。
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-08-17 22:47:12,我要和他一个学校我追到毕业也要追！
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-06-04 13:44:19,博哥为啥这么性感！气质要命
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-05-30 01:33:42,嗷一嗓子，昏过去六个
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-05-25 00:59:32,这歌词怎么写得这么性感啊！
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-05-24 15:25:20,这个主音吉他老外，梁博的各种演出经常看见的
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-05-02 21:25:58,啊（尖叫
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-04-30 22:55:08,我是话筒
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-04-20 17:41:04,救命 就这一声反复听
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-04-20 16:04:43,有一说一，我觉得这个“啊”跟歌的氛围很搭
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-04-13 00:45:39,前面立定的你要笑死我哈哈哈
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-03-28 00:28:25,我怀疑他在擦边哈哈哈哈哈哈哈
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-03-16 22:24:50,这还不危险，我都被你迷裂了
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-02-25 17:36:24,满满的干净的禁欲气息！
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-02-22 22:11:07,这首歌真是宝藏，越听越好听！
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-02-09 08:19:13,很难不害怕(〃•⊖•〃)
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-01-19 11:57:56,他团队的人都跟了他好多年
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-01-19 11:57:33,最怕猛男“啊”
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2022-01-19 09:48:18,他鼓手叫祁大为
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2021-12-31 19:56:33,男娃女娃们都穿件衣裳吧
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2021-12-17 11:33:29,再来亿遍
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2021-12-14 13:18:10,咋这么正直啊哈哈哈哈哈
https://www.bilibili.com/video/BV14E411y7MW,http://comment.bilibili.com/125197172.xml,2021-12-13 11:34:05,想睡 梁老师给个机会
